SignalName,ActivityFactor
TOP.VexiiRiscv.clk,0.99997288
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga.clk,0.99997288
TOP.VexiiRiscv.streamArbiter_1.clk,0.99997288
TOP.clk,0.99997288
TOP.VexiiRiscv.WhiteboxerPlugin_logic_perf_candidatesCountCounters_1[59:0],0.44873163
TOP.VexiiRiscv.WhiteboxerPlugin_logic_perf_dispatchFeedCounters_1[59:0],0.44873163
TOP.VexiiRiscv.FetchCachelessPlugin_logic_bus_rsp_payload_word[31:0],0.36418372
TOP.VexiiRiscv.FetchCachelessPlugin_logic_buffer_write_payload_data_word[31:0],0.36418372
TOP.FetchCachelessPlugin_logic_bus_rsp_payload_word[31:0],0.36418372
TOP.VexiiRiscv.FetchCachelessPlugin_logic_buffer_words_spinal_port1[32:0],0.34519385
TOP.VexiiRiscv.execute_ctrl4_up_MMU_TRANSLATED_lane0[31:0],0.32103696
TOP.VexiiRiscv.execute_ctrl4_up_early0_SrcPlugin_ADD_SUB_lane0[31:0],0.32103696
TOP.VexiiRiscv.execute_ctrl4_down_MMU_TRANSLATED_lane0[31:0],0.32103696
TOP.VexiiRiscv.execute_ctrl4_down_early0_SrcPlugin_ADD_SUB_lane0[31:0],0.32103696
TOP.VexiiRiscv.WhiteboxerPlugin_logic_loadExecute_address[31:0],0.32103696
TOP.VexiiRiscv.LsuCachelessPlugin_logic_bus_cmd_payload_address[31:0],0.32103613
TOP.VexiiRiscv.execute_ctrl3_down_MMU_TRANSLATED_lane0[31:0],0.32103613
TOP.VexiiRiscv.execute_ctrl3_down_early0_SrcPlugin_ADD_SUB_lane0[31:0],0.32103613
TOP.VexiiRiscv.execute_ctrl3_up_MMU_TRANSLATED_lane0[31:0],0.32103613
TOP.VexiiRiscv.execute_ctrl3_up_early0_SrcPlugin_ADD_SUB_lane0[31:0],0.32103613
TOP.VexiiRiscv.execute_ctrl2_down_MMU_TRANSLATED_lane0[31:0],0.32103613
TOP.VexiiRiscv.execute_ctrl2_down_LsuCachelessPlugin_logic_onAddress_RAW_ADDRESS_lane0[31:0],0.32103613
TOP.VexiiRiscv.execute_ctrl2_down_early0_SrcPlugin_ADD_SUB_lane0[31:0],0.32103613
TOP.VexiiRiscv.PrivilegedPlugin_api_lsuTriggerBus_virtual[31:0],0.32103613
TOP.VexiiRiscv.LsuCachelessPlugin_logic_trapPort_payload_tval[31:0],0.32103613
TOP.VexiiRiscv.LsuCachelessPlugin_logic_onPma_port_cmd_address[31:0],0.32103613
TOP.VexiiRiscv.LsuCachelessPlugin_pmaBuilder_addressBits[31:0],0.32103613
TOP.VexiiRiscv.WhiteboxerPlugin_logic_storeCommit_address[31:0],0.32103613
TOP.LsuCachelessPlugin_logic_bus_cmd_payload_address[31:0],0.32103613
TOP.VexiiRiscv.LsuCachelessPlugin_logic_bus_cmd_payload_regNext_address[31:0],0.32103531
TOP.VexiiRiscv.PcPlugin_logic_harts_0_self_flow_payload_pc[31:0],0.30713604
TOP.VexiiRiscv.PcPlugin_logic_harts_0_self_pc[31:0],0.30713604
TOP.VexiiRiscv.early0_BarrelShifterPlugin_logic_shift_shifted[31:0],0.29893964
TOP.VexiiRiscv.execute_ctrl2_down_early0_BarrelShifterPlugin_SHIFT_RESULT_lane0[31:0],0.29745947
TOP.VexiiRiscv.early0_BarrelShifterPlugin_logic_wb_payload[31:0],0.29745947
TOP.VexiiRiscv.early0_BarrelShifterPlugin_logic_shift_patched[31:0],0.29745947
TOP.VexiiRiscv.FetchCachelessPlugin_logic_buffer_inflight_1,0.29320553
TOP.VexiiRiscv.FetchCachelessPlugin_logic_buffer_inflight_0,0.29318991
TOP.VexiiRiscv.FetchCachelessPlugin_logic_bus_rsp_payload_id[0:0],0.29313567
TOP.VexiiRiscv.FetchCachelessPlugin_logic_buffer_write_payload_address[0:0],0.29313567
TOP.FetchCachelessPlugin_logic_bus_rsp_payload_id[0:0],0.29313567
TOP.VexiiRiscv.FetchCachelessPlugin_logic_bus_cmd_payload_address[31:0],0.29214944
TOP.VexiiRiscv.fetch_logic_ctrls_0_down_Fetch_WORD_PC[31:0],0.29214944
TOP.VexiiRiscv.fetch_logic_ctrls_0_up_Fetch_WORD_PC[31:0],0.29214944
TOP.VexiiRiscv.fetch_logic_ctrls_0_down_MMU_TRANSLATED[31:0],0.29214944
TOP.VexiiRiscv.FetchCachelessPlugin_logic_onPma_port_cmd_address[31:0],0.29214944
TOP.VexiiRiscv.PcPlugin_logic_harts_0_aggregator_target[31:0],0.29214944
TOP.VexiiRiscv.PcPlugin_logic_harts_0_output_payload_pc[31:0],0.29214944
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_translated_payload_address[31:0],0.29214944
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_persistent_payload_address[31:0],0.29214944
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_translated_rData_address[31:0],0.29214944
TOP.VexiiRiscv.FetchCachelessPlugin_logic_bus_cmd_payload_regNext_address[31:0],0.29214944
TOP.VexiiRiscv.FetchCachelessPlugin_pmaBuilder_addressBits[31:0],0.29214944
TOP.FetchCachelessPlugin_logic_bus_cmd_payload_address[31:0],0.29214944
