SignalName,ActivityFactor
TOP.VexiiRiscv.clk,0.19979396
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga.clk,0.19979396
TOP.VexiiRiscv.streamArbiter_1.clk,0.19979396
TOP.clk,0.19979396
TOP.VexiiRiscv.WhiteboxerPlugin_logic_perf_candidatesCountCounters_0[59:0],0.09277308
TOP.VexiiRiscv.WhiteboxerPlugin_logic_perf_dispatchFeedCounters_0[59:0],0.09277308
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_fsm_stateNext[3:0],0.04271845
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_fsm_stateNext_string[79:0],0.04271845
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_fsm_stateReg[3:0],0.04271220
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_fsm_stateReg_string[79:0],0.04271220
TOP.VexiiRiscv.CsrRamPlugin_logic_writeLogic_port_payload_address[1:0],0.02137795
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_crsPorts_write_address[1:0],0.02135298
TOP.VexiiRiscv.streamArbiter_1_io_output_payload_pcTarget[31:0],0.01427902
TOP.VexiiRiscv.execute_ctrl3_down_PC_lane0[31:0],0.01427902
TOP.VexiiRiscv.execute_ctrl4_up_PC_lane0[31:0],0.01427902
TOP.VexiiRiscv.execute_ctrl3_up_PC_lane0[31:0],0.01427902
TOP.VexiiRiscv.execute_ctrl4_down_PC_lane0[31:0],0.01427902
TOP.VexiiRiscv.execute_ctrl2_down_early0_BranchPlugin_pcCalc_PC_TRUE_lane0[31:0],0.01427902
TOP.VexiiRiscv.early0_BranchPlugin_logic_pcPort_payload_pc[31:0],0.01427902
TOP.VexiiRiscv.early0_BranchPlugin_pcCalc_target_a[31:0],0.01427902
TOP.VexiiRiscv.early0_BranchPlugin_logic_trapPort_payload_tval[31:0],0.01427902
TOP.VexiiRiscv.early0_BranchPlugin_logic_jumpLogic_learn_payload_pcTarget[31:0],0.01427902
TOP.VexiiRiscv.LearnPlugin_logic_learn_payload_pcTarget[31:0],0.01427902
TOP.VexiiRiscv.LearnPlugin_logic_buffered_0_payload_pcTarget[31:0],0.01427902
TOP.VexiiRiscv.LearnPlugin_logic_arbitrated_payload_pcTarget[31:0],0.01427902
TOP.VexiiRiscv.LearnPlugin_logic_arbitrated_toFlow_payload_pcTarget[31:0],0.01427902
TOP.VexiiRiscv.early0_BranchPlugin_logic_jumpLogic_learn_asFlow_payload_pcTarget[31:0],0.01427902
TOP.VexiiRiscv.WhiteboxerPlugin_logic_prediction_learns_0_payload_pcTarget[31:0],0.01427902
TOP.VexiiRiscv.streamArbiter_1.io_inputs_0_payload_pcTarget[31:0],0.01427902
TOP.VexiiRiscv.streamArbiter_1.io_output_payload_pcTarget[31:0],0.01427902
TOP.VexiiRiscv.streamArbiter_1_io_output_payload_pcOnLastSlice[31:0],0.01427278
TOP.VexiiRiscv.execute_ctrl3_down_lane0_logic_completions_onCtrl_2_ENABLE_lane0,0.01427278
TOP.VexiiRiscv.execute_ctrl4_up_lane0_logic_completions_onCtrl_2_ENABLE_lane0,0.01427278
TOP.VexiiRiscv.execute_ctrl3_up_lane0_logic_completions_onCtrl_2_ENABLE_lane0,0.01427278
TOP.VexiiRiscv.execute_ctrl2_up_PC_lane0[31:0],0.01427278
TOP.VexiiRiscv.execute_ctrl4_down_lane0_logic_completions_onCtrl_2_ENABLE_lane0,0.01427278
TOP.VexiiRiscv.execute_ctrl2_down_early0_BranchPlugin_pcCalc_PC_LAST_SLICE_lane0[31:0],0.01427278
TOP.VexiiRiscv.execute_ctrl2_down_early0_BranchPlugin_pcCalc_PC_FALSE_lane0[31:0],0.01427278
TOP.VexiiRiscv.execute_ctrl2_down_PC_lane0[31:0],0.01427278
TOP.VexiiRiscv.early0_BranchPlugin_logic_wb_payload[31:0],0.01427278
TOP.VexiiRiscv.early0_BranchPlugin_logic_jumpLogic_learn_payload_pcOnLastSlice[31:0],0.01427278
TOP.VexiiRiscv.LearnPlugin_logic_learn_payload_pcOnLastSlice[31:0],0.01427278
TOP.VexiiRiscv.LearnPlugin_logic_buffered_0_payload_pcOnLastSlice[31:0],0.01427278
TOP.VexiiRiscv.LearnPlugin_logic_arbitrated_payload_pcOnLastSlice[31:0],0.01427278
TOP.VexiiRiscv.LearnPlugin_logic_arbitrated_toFlow_payload_pcOnLastSlice[31:0],0.01427278
TOP.VexiiRiscv.early0_BranchPlugin_logic_jumpLogic_learn_asFlow_payload_pcOnLastSlice[31:0],0.01427278
TOP.VexiiRiscv.WhiteboxerPlugin_logic_prediction_learns_0_payload_pcOnLastSlice[31:0],0.01427278
TOP.VexiiRiscv.streamArbiter_1.io_inputs_0_payload_pcOnLastSlice[31:0],0.01427278
TOP.VexiiRiscv.streamArbiter_1.io_output_payload_pcOnLastSlice[31:0],0.01427278
TOP.VexiiRiscv.execute_ctrl3_down_lane0_integer_WriteBackPlugin_SEL_lane0,0.01426654
TOP.VexiiRiscv.execute_ctrl4_up_lane0_integer_WriteBackPlugin_SEL_lane0,0.01426654
TOP.VexiiRiscv.execute_ctrl2_down_lane0_logic_completions_onCtrl_2_ENABLE_lane0,0.01426654
TOP.VexiiRiscv.execute_ctrl3_up_lane0_integer_WriteBackPlugin_SEL_lane0,0.01426654
TOP.VexiiRiscv.execute_ctrl2_up_lane0_logic_completions_onCtrl_2_ENABLE_lane0,0.01426654
TOP.VexiiRiscv.execute_ctrl1_up_PC_lane0[31:0],0.01426654
